Census Tract,Total Population,California County,ZIP,Approximate Location,Longitude,Latitude,CES 4.0 Score,CES 4.0 Percentile,CES 4.0 Percentile Range,DAC category,Ozone,Ozone Pctl,PM2.5,PM2.5 Pctl,Diesel PM,Diesel PM Pctl,Drinking Water,Drinking Water Pctl,Lead,Lead Pctl,Pesticides,Pesticides Pctl,Tox. Release,Tox. Release Pctl,Traffic,Traffic Pctl,Cleanup Sites,Cleanup Sites Pctl,Groundwater Threats,Groundwater Threats Pctl,Haz. Waste,Haz. Waste Pctl,Imp. Water Bodies,Imp. Water Bodies Pctl,Solid Waste,Solid Waste Pctl,Pollution Burden,Pollution Burden Score,Pollution Burden Pctl,Asthma,Asthma Pctl,Low Birth Weight,Low Birth Weight Pctl,Cardiovascular Disease,Cardiovascular Disease Pctl,Education,Education Pctl,Linguistic Isolation,Linguistic Isolation Pctl,Poverty,Poverty Pctl,Unemployment,Unemployment Pctl,Housing Burden,Housing Burden Pctl,Pop. Char.,Pop. Char. Score,Pop. Char. Pctl
06037231300,5754,Los Angeles,90062,Los Angeles,-118.304538,34.0145164,42.06,78.18,75-80%,CalEnviroScreen 4.0 Top 25%,0.045,39.99,11.98149623,77.45,0.098,36.69,787.94,92.53,87.15,94.85,0,0,2582.206665,83,1030.044854,59.9,0.25,4.12,0,0,0.11,19.25,0,0,5,75.67,46.97,5.73,62.28,65.75,74.91,8.19,97.19,11.65,43.41,41,90.64,7.4,50.52,47.5,79.13,4,30.88,35.8,96.73,70.71,7.33,80.96
06037115202,5684,Los Angeles,91324,Los Angeles,-118.5376549,34.2332349,42.01,78.05,75-80%,CalEnviroScreen 4.0 Top 25%,0.065,93.63,12.41477456,90.53,0.19,60.21,726.64,83.13,50.84,52.69,0,0,554.9673411,53.58,1341.243314,73.54,9.75,60.08,26,75.98,0.76,80.49,3,33.16,0,0,58.92,7.19,89.46,59.88,68.81,5.63,67.56,16.57,74.14,8.6,36.56,5.2,38.61,26,46.39,1.5,3.21,28.2,87.25,56.29,5.84,59.97
06037113401,6550,Los Angeles,91306,Los Angeles,-118.5626938,34.2272273,42,78.04,75-80%,CalEnviroScreen 4.0 Top 25%,0.064,91.05,12.12804813,86.12,0.204,62.81,726.64,83.13,65.59,73.67,0,0,566.276001,53.99,1076.933687,62.79,11.5,64.67,33,82.1,1.705,91.58,3,33.16,0.2,9.67,61.54,7.51,92.79,61.35,70.53,5.41,62.39,16.09,71.97,15.3,55.99,11,65.62,22.4,39.4,2.6,11.87,12.2,24.46,53.88,5.59,55.87
06037211122,3163,Los Angeles,90004,Los Angeles,-118.2892234,34.0726794,42,78.01,75-80%,CalEnviroScreen 4.0 Top 25%,0.048,53.73,12.12349272,85.92,0.48,89.1,787.94,92.53,69.06,77.83,0,0,1705.894063,75.87,1068.850299,62.23,20.2,82.06,8.5,42.07,0.635,76.2,0,0,0.5,22.08,59.6,7.28,90.32,33.16,30.67,6.7,86.54,8.97,20.78,19.6,64.1,23.4,90.7,56.5,88.62,0.4,0.2,26.1,82.79,55.64,5.77,58.85
06037109100,2797,Los Angeles,91345,Los Angeles,-118.4631511,34.2771693,41.97,77.99,75-80%,CalEnviroScreen 4.0 Top 25%,0.067,97,11.11249892,55.91,0.549,91.46,726.64,83.13,48.24,49.09,0,0,622.6946615,55.81,2123.368674,88.8,0,0,0,0,0.37,58.27,0,0,9.75,90.15,53.33,6.51,78.82,59.85,68.78,5.45,63.32,13.45,57.13,22.9,69.78,10.1,62.24,27.2,48.92,5.1,45.78,24.7,79.3,62.14,6.45,68.94
06037190401,2977,Los Angeles,90027,Los Angeles,-118.3027866,34.1035718,41.91,77.91,75-80%,CalEnviroScreen 4.0 Top 25%,0.05,62.53,11.99265418,77.77,0.172,56.88,787.94,92.53,48.29,49.14,0,0,1389.177002,71.26,946.4740916,54.74,0,0,0.75,4.42,0.4,61.58,0,0,0,0,43.14,5.27,52.02,43.46,46.82,7.76,95.39,21.11,90.84,13.2,51.23,23.6,90.92,38.4,66.68,9.6,84.58,27.2,85.27,76.71,7.96,88.8
06037293302,5082,Los Angeles,90710,Los Angeles,-118.3042086,33.8016119,41.9,77.87,75-80%,CalEnviroScreen 4.0 Top 25%,0.04,20.85,11.88962253,72.74,0.256,70.93,452.76,54.43,62.2,68.71,0,0,9853.220216,97.3,1180.402406,67.93,9,58.17,2,14.31,0.765,80.52,10,82.97,1.2,37.57,55.98,6.83,84.29,49.91,56.43,5.33,60.57,10.69,35.48,16.7,59.11,15,77.43,27.8,50.24,6.5,62.4,28.4,87.69,59.1,6.13,64.09
06037115401,6373,Los Angeles,91325,Los Angeles,-118.515127,34.2248079,41.8,77.8,75-80%,CalEnviroScreen 4.0 Top 25%,0.065,93.63,12.64622444,92.1,0.141,48.79,726.64,83.13,61.22,67.42,0,0,586.958669,54.74,1181.421554,67.99,45,94.83,10.5,48.48,0.735,79.58,2,23.88,1.25,38.99,61.37,7.49,92.59,44.47,48.22,4.82,47.4,11.77,44.25,18.5,62.22,18.2,83.84,35.1,61.91,3.7,26.86,21.8,69.91,53.79,5.58,55.76
06037212900,4067,Los Angeles,90019,Los Angeles,-118.3215149,34.0494541,41.7,77.63,75-80%,CalEnviroScreen 4.0 Top 25%,0.046,46.99,12.05102217,81.19,0.112,40.86,787.94,92.53,90.41,96.98,0,0,1871.047953,77.83,1102.413226,64.11,9,58.17,12.25,52.42,0.72,78.98,0,0,0,0,54.35,6.64,81,68.9,77.69,2.98,8.93,12.59,51.26,26.6,75.74,28.9,95.1,47.5,79.13,4.4,36.44,29.4,89.57,60.58,6.28,66.35
06037186404,2631,Los Angeles,90065,Los Angeles,-118.2354293,34.1067595,41.68,77.62,75-80%,CalEnviroScreen 4.0 Top 25%,0.051,64.73,12.05494302,81.39,0.125,44.53,488.79,59.71,79.57,88.9,0,0,1537.582662,73.71,739.4212147,39.45,50.8,96.04,31,80.57,0.2,35.62,6,58.69,0.2,9.67,56.41,6.89,85.14,65.4,74.75,3.93,24.99,11.07,38.48,23.7,70.93,15,77.43,39.5,68.48,7.7,73.41,20,62.83,58.35,6.05,62.95
